station,month,day,tmax_normal,tmin_normal
100,1,1,-1.3,-11.6
100,1,2,-1.5,-11.7
100,1,3,-1.4,-12.0
100,1,4,-1.3,-12.0
100,1,5,-1.3,-12.4
100,1,6,-1.3,-12.5
100,1,7,-1.4,-12.3
100,1,8,-1.5,-12.1
100,1,9,-1.7,-12.1
100,1,10,-2.0,-11.9
100,1,11,-2.2,-12.0
100,1,12,-2.2,-12.2
100,1,13,-2.1,-12.4
100,1,14,-2.0,-12.4
100,1,15,-1.8,-12.4
100,1,16,-1.6,-12.4
100,1,17,-1.5,-12.3
100,1,18,-1.5,-11.9
100,1,19,-1.5,-11.9
100,1,20,-1.8,-11.8
100,1,21,-2.0,-12.1
100,1,22,-2.3,-12.3
100,1,23,-2.6,-12.7
100,1,24,-2.7,-12.7
100,1,25,-2.5,-12.8
100,1,26,-2.3,-12.8
100,1,27,-2.0,-12.4
100,1,28,-1.8,-12.0
100,1,29,-1.6,-11.9
100,1,30,-1.6,-12.0
100,1,31,-1.4,-12.2
100,2,1,-1.4,-12.3
100,2,2,-1.2,-12.5
100,2,3,-1.0,-12.4
100,2,4,-0.7,-12.0
100,2,5,-0.6,-11.5
100,2,6,-0.5,-11.4
100,2,7,-0.6,-11.4
100,2,8,-0.8,-11.3
100,2,9,-0.9,-11.3
100,2,10,-0.8,-11.0
100,2,11,-0.3,-10.7
100,2,12,0.3,-10.2
100,2,13,0.7,-9.8
100,2,14,0.8,-9.7
100,2,15,0.7,-9.9
100,2,16,0.5,-9.9
100,2,17,0.5,-9.9
100,2,18,0.7,-10.1
100,2,19,1.0,-10.1
100,2,20,1.6,-9.7
100,2,21,1.7,-9.4
100,2,22,1.7,-9.1
100,2,23,1.9,-8.7
100,2,24,2.1,-8.2
100,2,25,2.3,-7.9
100,2,26,2.7,-7.5
100,2,27,3.0,-7.3
100,2,28,2.8,-7.1
100,2,29,2.9,-7.0
100,3,1,3.0,-7.0
100,3,2,3.0,-6.8
100,3,3,3.0,-6.9
100,3,4,3.0,-6.9
100,3,5,3.0,-6.8
100,3,6,3.0,-6.8
100,3,7,3.2,-6.7
100,3,8,3.2,-6.5
100,3,9,3.3,-6.5
100,3,10,3.8,-6.2
100,3,11,4.3,-5.9
100,3,12,4.5,-5.8
100,3,13,4.8,-5.6
100,3,14,5.2,-5.1
100,3,15,5.6,-4.9
100,3,16,5.9,-4.5
100,3,17,6.4,-4.1
100,3,18,6.6,-4.0
100,3,19,7.0,-4.0
100,3,20,7.0,-3.8
100,3,21,6.7,-3.8
100,3,22,6.4,-3.8
100,3,23,6.5,-3.6
100,3,24,6.6,-3.5
100,3,25,7.1,-3.3
100,3,26,7.4,-3.0
100,3,27,7.8,-2.7
100,3,28,8.2,-2.4
100,3,29,8.5,-1.9
100,3,30,8.7,-1.8
100,3,31,9.1,-1.6
100,4,1,9.5,-1.6
100,4,2,9.7,-1.6
100,4,3,10.0,-1.5
100,4,4,10.1,-1.2
100,4,5,10.1,-1.0
100,4,6,10.5,-0.8
100,4,7,10.9,-0.4
100,4,8,11.0,-0.3
100,4,9,11.0,-0.2
100,4,10,11.1,-0.2
100,4,11,11.2,0.0
